name,kind,first_reference,source,english_equivalent,source_form,greek_form,name_meaning,equivalent_source,equivalent_confidence,footnote
Remmōn,transliterated_form,2 Samuel 4:2,ot,Rimmon,Remmōn,ρεμμων,exalted; pomegranate,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Rimmon. Source form: Remmōn. Greek form: ρεμμων. Name meaning: exalted; pomegranate. Equivalent source: UKJV same-reference name-order alignment.
Bērōthaite,transliterated_form,2 Samuel 4:2,ot,Beerothite,Bērōthaite,βηρωθ,wells; explaining,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Beerothite. Source form: Bērōthaite. Greek form: βηρωθ. Name meaning: wells; explaining. Equivalent source: UKJV same-reference name-order alignment.
Bērōth,transliterated_form,2 Samuel 4:2,ot,Beeroth,Bērōth,βηρωθ,wells; explaining,UKJV same-reference witness,0.92,Standard English equivalent: Beeroth. Source form: Bērōth. Greek form: βηρωθ. Name meaning: wells; explaining. Equivalent source: UKJV same-reference witness.
Bērōthaites,transliterated_form,2 Samuel 4:3,ot,Beerothite,Bērōthaites,βηρωθαιοι,wells; explaining,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Beerothite. Source form: Bērōthaites. Greek form: βηρωθαιοι. Name meaning: wells; explaining. Equivalent source: UKJV same-reference name-order alignment.
Chiram,transliterated_form,2 Samuel 5:11,ot,Hiram,Chiram,χιραμ,exaltation of life; a destroyer,manual/standard English equivalent,manual,Standard English equivalent: Hiram. Source form: Chiram. Greek form: χιραμ. Name meaning: exaltation of life; a destroyer. Equivalent source: manual/standard English equivalent.
Sōbab,transliterated_form,2 Samuel 5:14,ot,Shobab,Sōbab,σωβαβ,returned; turned back; a spark,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Shobab. Source form: Sōbab. Greek form: σωβαβ. Name meaning: returned; turned back; a spark. Equivalent source: UKJV same-reference name-order alignment.
Thēsous,transliterated_form,2 Samuel 5:16,ot,Thesous,Thēsous,θεησους,meaning uncertain/not securely attested in the consulted name dictionaries,normalized source form,fallback,Standard English equivalent: Thesous. Source form: Thēsous. Greek form: θεησους. Name meaning: meaning uncertain/not securely attested in the consulted name dictionaries. Equivalent source: normalized source form.
Gazēra,transliterated_form,2 Samuel 5:25,ot,Gazer,Gazēra,γαζηρα,a dividing; a sentence,UKJV same-reference witness,0.91,Standard English equivalent: Gazer. Source form: Gazēra. Greek form: γαζηρα. Name meaning: a dividing; a sentence. Equivalent source: UKJV same-reference witness.
Nōdab,transliterated_form,2 Samuel 6:6,ot,Nodab,Nōdab,νωδαβ,vowing of his own accord,normalized source form,fallback,Standard English equivalent: Nodab. Source form: Nōdab. Greek form: νωδαβ. Name meaning: vowing of his own accord. Equivalent source: normalized source form.
Adraazar,transliterated_form,2 Samuel 8:3,ot,Hadadezer,Adraazar,αδρααζαρ,beauty of assistance,manual/standard English equivalent,manual,Standard English equivalent: Hadadezer. Source form: Adraazar. Greek form: αδρααζαρ. Name meaning: beauty of assistance. Equivalent source: manual/standard English equivalent.
